sample_name	protocol	organism	read1	read2	read_type	anno_name	TSS_name	File_mb	Read_type	Genome	Raw_reads	Fastq_reads	Trimmed_reads	Trim_loss_rate	Aligned_reads_rCRSd	Alignment_rate_rCRSd	Aligned_reads_human_repeats	Alignment_rate_human_repeats	Mapped_reads	QC_filtered_reads	Aligned_reads	Alignment_rate	Total_efficiency	Mitochondrial_reads	NRF	PBC1	PBC2	Unmapped_reads	Duplicate_reads	Dedup_aligned_reads	Dedup_alignment_rate	Dedup_total_efficiency	TSS_Score	Peak_count	FRiP	Time	Success
103_45072410_s	ATAC	human	ATAC_UF_SQB102/fastq_files_combined/103_45072410_s_R1.fastq.gz	ATAC_UF_SQB102/fastq_files_combined/103_45072410_s_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	3784.3752	paired	hg38	79121424	79121424	79119528	0.0	15289630.0	19.32	4173856.0	5.28	57991813	3612199.0	54379614	68.73	68.73	24923.0	0.43	0.64	2.59	1664229.0	9346113	45033501.0	56.92	56.92	17.1125702203	44721	0.214126179711	4:01:48	12-15-05:59:32
103_45072410_u	ATAC	human	ATAC_UF_SQB102/fastq_files_combined/103_45072410_u_R1.fastq.gz	ATAC_UF_SQB102/fastq_files_combined/103_45072410_u_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	2443.0559	paired	hg38	52548128	52548128	52538642	0.02	6436072.0	12.25	3404544.0	6.48	41856777	2850709.0	39006068	74.24	74.23	11386.0	0.66	0.81	5.04	841249.0	3689021	35317047.0	67.22	67.21	11.1624342222	26486	0.11374848139	4:20:37	12-16-06:48:49
103_47301211_s	ATAC	human	ATAC_UF_SQB102/fastq_files_combined/103_47301211_s_R1.fastq.gz	ATAC_UF_SQB102/fastq_files_combined/103_47301211_s_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	738.2504	paired	hg38	15726106	15726106	15720850	0.03	3687862.0	23.46	838562.0	5.33	10847422	747136.0	10100286	64.25	64.23	5632.0	0.62	0.78	4.35	347004.0	1085239	9015047.0	57.34	57.33	14.1610036592	18690	0.143212380323	1:11:35	12-14-23:59:39
103_47301211_u	ATAC	human	ATAC_UF_SQB102/fastq_files_combined/103_47301211_u_R1.fastq.gz	ATAC_UF_SQB102/fastq_files_combined/103_47301211_u_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	601.681	paired	hg38	12715876	12715876	12715442	0.0	3164198.0	24.88	697524.0	5.49	8671937	588121.0	8083816	63.57	63.57	5062.0	0.82	0.9	10.37	181783.0	393034	7690782.0	60.48	60.48	17.1634304207	20368	0.252642687562	1:40:01	12-15-00:27:37
103_48049210_s	ATAC	human	ATAC_UF_SQB102/fastq_files_combined/103_48049210_s_R1.fastq.gz	ATAC_UF_SQB102/fastq_files_combined/103_48049210_s_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	2023.0746	paired	hg38	43543914	43543914	43541490	0.01	8281118.0	19.02	2406340.0	5.53	31920120	2199242.0	29720878	68.26	68.25	15593.0	0.71	0.84	6.16	933912.0	2351904	27368974.0	62.86	62.85	14.1701822906	28607	0.163984993983	12:21:33	12-15-13:46:31
103_48049210_u	ATAC	human	ATAC_UF_SQB102/fastq_files_combined/103_48049210_u_R1.fastq.gz	ATAC_UF_SQB102/fastq_files_combined/103_48049210_u_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	710.8224	paired	hg38	15118140	15118140	15100020	0.12	2125626.0	14.08	944676.0	6.26	11786280	863870.0	10922410	72.33	72.25	3946.0	0.8	0.89	9.07	243438.0	593067	10329343.0	68.41	68.32	11.0399407931	16352	0.100802478574	1:52:28	12-15-03:18:54
103_48581811_s	ATAC	human	ATAC_UF_SQB102/fastq_files_combined/103_48581811_s_R1.fastq.gz	ATAC_UF_SQB102/fastq_files_combined/103_48581811_s_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1831.2139	paired	hg38	39747630	39747630	39746978	0.0	3310184.0	8.33	2635464.0	6.63	33134142	2223736.0	30910406	77.77	77.77	5098.0	0.52	0.71	3.27	667188.0	4250460	26659946.0	67.07	67.07	7.25392659134	14989	0.0402231209774	4:21:22	12-16-05:11:35
103_48581811_u	ATAC	human	ATAC_UF_SQB102/fastq_files_combined/103_48581811_u_R1.fastq.gz	ATAC_UF_SQB102/fastq_files_combined/103_48581811_u_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	919.7322	paired	hg38	19623196	19623196	19622138	0.01	3648100.0	18.59	1105240.0	5.63	14599222	942790.0	13656432	69.6	69.59	5621.0	0.48	0.68	2.95	269576.0	2057785	11598647.0	59.11	59.11	13.1730526874	20004	0.117112873992	2:15:40	12-15-03:42:12
103_48584411_s	ATAC	human	ATAC_UF_SQB102/fastq_files_combined/103_48584411_s_R1.fastq.gz	ATAC_UF_SQB102/fastq_files_combined/103_48584411_s_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1280.3808	paired	hg38	27416460	27416460	27416028	0.0	6894760.0	25.15	1504326.0	5.49	18524694	1151214.0	17373480	63.37	63.37	11650.0	0.85	0.92	12.92	492248.0	667980	16705500.0	60.93	60.93	11.9009499583	24090	0.146280595482	1:32:13	12-15-03:29:40
103_48584411_u	ATAC	human	ATAC_UF_SQB102/fastq_files_combined/103_48584411_u_R1.fastq.gz	ATAC_UF_SQB102/fastq_files_combined/103_48584411_u_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	953.7146	paired	hg38	20438932	20438932	20438766	0.0	4436850.0	21.71	1194262.0	5.84	14489931	962313.0	13527618	66.19	66.19	7494.0	0.86	0.93	13.72	317723.0	488992	13038626.0	63.79	63.79	10.8239610433	19320	0.126556279162	1:54:32	12-15-03:21:14
